observation_no,osc_rpc_configuration_current.mppr_value,osc_rpc_configuration_current.mrif_value,osc_rpc_configuration_current.mdm_value,llite_stats_read_bytes.no_of_samples,llite_stats_read_bytes.sample_min,llite_stats_read_bytes.sample_max,llite_stats_read_bytes.samples_sum,llite_stats_write_bytes.no_of_samples,llite_stats_write_bytes.sample_min,llite_stats_write_bytes.sample_max,llite_stats_write_bytes.samples_sum,ost_read_rpc_bytes_data.no_of_samples,ost_read_rpc_bytes_data.sample_min,ost_read_rpc_bytes_data.sample_max,ost_read_rpc_bytes_data.samples_sum,ost_read_rpc_usec_data.no_of_samples,ost_read_rpc_usec_data.sample_min,ost_read_rpc_usec_data.sample_max,ost_read_rpc_usec_data.samples_sum,ost_write_rpc_bytes_data.no_of_samples,ost_write_rpc_bytes_data.sample_min,ost_write_rpc_bytes_data.sample_max,ost_write_rpc_bytes_data.samples_sum,ost_write_rpc_usec_data.no_of_samples,ost_write_rpc_usec_data.sample_min,ost_write_rpc_usec_data.sample_max,ost_write_rpc_usec_data.samples_sum,osc_req_waittime_data.no_of_samples,osc_req_waittime_data.sample_min,osc_req_waittime_data.sample_max,osc_req_waittime_data.samples_sum,osc_req_active_data.no_of_samples,osc_req_active_data.sample_min,osc_req_active_data.sample_max,osc_req_active_data.samples_sum,cur_dirty_bytes,cur_grant_bytes,cur_read_rif,pending_read_pages,cur_write_rif,pending_write_pages,is_dist_centered,avg_pages_per_write_rpc,write_avg_xfer_speed,write_max_xfer_speed,used_pct_dirty_cache,waittime_to_mrif_ratio,avg_waittime,write_rpc_generation_rate,avg_write_rpc_latency_per_unit_data,avg_write_rpc_waittime,avg_rpcs_in_flight,actual_record_duration
which observation it is (start from 1),max_pages_per_rpc (mppr),max_rpcs_in_flight (mrif),max_dirty_mb (mdm),total count of llite layer read IOs,minimum size of llite layer read IOs,maximum size of llite layer read IOs,total size of all llite layer read IOs,total count of llite layer write IOs,minimum size of llite layer write IOs,maximum size of llite layer write IOs,total size of all llite layer write IOs,total count of OSC layer read RPCs,minimum size of OSC layer read RPCs,maximum size of OSC layer read RPCs,total size of all OSC layer read RPCs,total count of OSC layer read RPCs,minimum time spent by OSC layer read RPCs,maximum time spent by OSC layer read RPCs,total time spent by all OSC layer read RPCs,total count of OSC layer write RPCs,minimum size of OSC layer write RPCs,maximum size of OSC layer write RPCs,total size of all OSC layer write RPCs,total count of OSC layer write RPCs,minimum time spent by OSC layer write RPCs,maximum time spent by OSC layer write RPCs,total time spent by all OSC layer write RPCs,total count of completed RPCs whose waittime got recorded,minimum waittime recorded among all completed RPCs,maximum waittime recorded among all completed RPCs,total amount of waittime recorded for all completed RPCs,total count of issued RPCs,minimum RPCs in the air observed among all issued RPCs,maximum RPCs in the air observed among all issued RPCs,total RPCs in the air observed for all issued RPCs,current amount of dirty pages (in bytes) in dirty page cache,current amount of space the client has reserved for the writeback cache with each OST,current amount of read RPCs in air,pending amount of read pages waiting to be cached,current amount of write RPCs in air,pending amount of write pages waiting to be cached,"is pages_per_rpc distribution centered: Centered(+1), Decentered(-1), Empty(0)",average pages observed among issued write RPCs,average transfer speed of write RPCs,maximum transfer speed of write RPCs,percentages of dirty page cache that is occupied,ratio of avg_waittime to max_rpcs_in_flight,average of waittime for all completed RPCs,how fast data is being utilized to generate RPCs,"the average amount of latency observed during write RPC communication for a unit (in Page, size = 4kB) of data",average of waittime for completed write RPCs,average number of observed RPCs in flight,actual snapshot record duration
0,256,16,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126305,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0587
1,256,16,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,593,593,593,1,1,1,1,0,1126305,0,0,0,0,1,0.0,0,0,0.0,37,593.0,0,0,0,1.0,0.5184
2,256,16,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126305,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0.5184
3,256,16,2000,32,1048576,1048576,33554432,0,0,0,0,31,1048576,1048576,32505856,31,5051,7086,164561,0,0,0,0,0,0,0,0,32,486,7086,165047,33,1,1,33,0,1126305,1,0,0,0,1,0.0,0,0,0.0,322,5157.71875,0,0,0,1.0,0.5192
4,2,32,2000,140,1048576,1048576,146800640,0,0,0,0,17195,8192,1048576,141901824,17195,267,5000,11885571,0,0,0,0,0,0,0,0,17195,267,5000,11885571,17228,1,34,490681,0,1126305,3,4,0,0,1,0.0,0,0,0.0,21,691.2225065425996,0,0,0,28.481599721383795,0.5206
5,64,128,2000,131,1048576,1048576,137363456,0,0,0,0,745,8192,262144,135593984,744,305,4650,1379483,0,0,0,0,0,0,0,0,744,305,4650,1379483,716,1,33,6964,0,1126305,4,0,0,0,1,0.0,0,0,0.0,14,1854.143817204301,0,0,0,9.726256983240223,0.5108
6,512,2,2000,88,1048576,1048576,92274688,0,0,0,0,91,262144,1048576,84934656,91,1587,5425,403414,0,0,0,0,0,0,0,0,91,1587,5425,403414,88,1,4,101,0,1126305,1,0,0,0,1,0.0,0,0,0.0,2216,4433.120879120879,0,0,0,1.1477272727272727,0.5128
7,64,32,2000,125,1048576,1048576,131072000,0,0,0,0,486,262144,1048576,128974848,486,1542,4817,1231775,0,0,0,0,0,0,0,0,486,1542,4817,1231775,489,1,4,1329,0,1126305,4,0,0,0,1,0.0,0,0,0.0,79,2534.51646090535,0,0,0,2.7177914110429446,0.5195
8,16,8,2000,153,1048576,1048576,160432128,0,0,0,0,2236,65536,262144,148897792,2236,798,3169,3135612,0,0,0,0,0,0,0,0,2236,798,3169,3135612,2241,1,16,15240,0,1126305,9,6,0,0,1,0.0,0,0,0.0,175,1402.3309481216459,0,0,0,6.800535475234271,0.5192
9,1,64,2000,111,1048576,1048576,116391936,0,0,0,0,26656,4096,65536,111149056,26656,232,3071,22822487,0,0,0,0,0,0,0,0,26656,232,3071,22822487,26647,1,66,1494428,0,1126305,5,8,0,0,1,0.0,0,0,0.0,13,856.1857367947179,0,0,0,56.08241077794874,0.5217
10,1024,64,2000,109,1048576,1048576,114294784,0,0,0,0,546,4096,1048576,101462016,546,303,4694,810722,0,0,0,0,0,0,0,0,546,303,4694,810722,482,1,66,22896,0,1126305,1,0,0,0,1,0.0,0,0,0.0,23,1484.838827838828,0,0,0,47.50207468879668,0.5206
11,32,2,2000,122,1048576,1048576,127926272,0,0,0,0,856,131072,1048576,114032640,856,918,4393,1132623,0,0,0,0,0,0,0,0,856,918,4393,1132623,857,1,8,2291,0,1126305,1,0,0,0,1,0.0,0,0,0.0,661,1323.1577102803737,0,0,0,2.673278879813302,0.519
12,128,128,2000,114,1048576,1048576,119537664,0,0,0,0,230,131072,524288,115081216,229,984,5053,692392,0,0,0,0,0,0,0,0,229,984,5053,692392,229,1,3,378,0,1126305,2,0,0,0,1,0.0,0,0,0.0,23,3023.5458515283844,0,0,0,1.6506550218340612,0.5191
13,16,64,2000,151,1048576,1048576,158334976,0,0,0,0,2209,65536,524288,146604032,2209,904,4109,4261261,0,0,0,0,0,0,0,0,2209,904,4109,4261261,2212,1,16,19137,0,1126305,0,0,0,0,1,0.0,0,0,0.0,30,1929.0452693526483,0,0,0,8.651446654611211,0.5119
14,4,32,2000,160,1048576,1048576,167772160,0,0,0,0,9084,16384,65536,150896640,9084,329,2860,10737054,0,0,0,0,0,0,0,0,9084,329,2860,10737054,9107,1,64,227899,0,1126305,3,6,0,0,1,0.0,0,0,0.0,36,1181.9742404227213,0,0,0,25.024596464258263,0.5132
15,8,1,2000,57,1048576,1048576,59768832,0,0,0,0,1809,16384,32768,56901632,1809,332,2681,1113823,0,0,0,0,0,0,0,0,1809,332,2681,1113823,1794,1,34,6981,0,1126305,2,0,0,0,1,0.0,0,0,0.0,615,615.7119955776673,0,0,0,3.891304347826087,0.5202
16,256,32,2000,91,1048576,1048576,95420416,0,0,0,0,105,32768,1048576,88080384,105,477,18714,416336,0,0,0,0,0,0,0,0,105,477,18714,416336,106,1,2,127,0,1126305,1,0,0,0,1,0.0,0,0,0.0,123,3965.1047619047617,0,0,0,1.1981132075471699,0.5194
17,4,16,2000,144,1048576,1048576,150994944,0,0,0,0,8541,16384,1048576,142000128,8541,328,5026,6134504,0,0,0,0,0,0,0,0,8541,328,5026,6134504,8557,1,18,128390,0,1126305,7,0,0,0,1,0.0,0,0,0.0,44,718.2418920501112,0,0,0,15.004090218534532,0.5196
18,1024,8,2000,95,1048576,1048576,99614720,0,0,0,0,208,16384,1048576,88752128,208,412,11236,451427,0,0,0,0,0,0,0,0,208,412,11236,451427,192,1,17,1673,0,1126305,0,0,0,0,1,0.0,0,0,0.0,271,2170.3221153846152,0,0,0,8.713541666666666,0.5209
19,64,1,2000,89,1048576,1048576,93323264,0,0,0,0,328,262144,1048576,87556096,328,1671,4819,711085,0,0,0,0,0,0,0,0,328,1671,4819,711085,329,1,4,626,0,1126305,2,0,0,0,1,0.0,0,0,0.0,2167,2167.942073170732,0,0,0,1.9027355623100304,0.5187
