observation_no,osc_rpc_configuration_current.mppr_value,osc_rpc_configuration_current.mrif_value,osc_rpc_configuration_current.mdm_value,llite_stats_read_bytes.no_of_samples,llite_stats_read_bytes.sample_min,llite_stats_read_bytes.sample_max,llite_stats_read_bytes.samples_sum,llite_stats_write_bytes.no_of_samples,llite_stats_write_bytes.sample_min,llite_stats_write_bytes.sample_max,llite_stats_write_bytes.samples_sum,ost_read_rpc_bytes_data.no_of_samples,ost_read_rpc_bytes_data.sample_min,ost_read_rpc_bytes_data.sample_max,ost_read_rpc_bytes_data.samples_sum,ost_read_rpc_usec_data.no_of_samples,ost_read_rpc_usec_data.sample_min,ost_read_rpc_usec_data.sample_max,ost_read_rpc_usec_data.samples_sum,ost_write_rpc_bytes_data.no_of_samples,ost_write_rpc_bytes_data.sample_min,ost_write_rpc_bytes_data.sample_max,ost_write_rpc_bytes_data.samples_sum,ost_write_rpc_usec_data.no_of_samples,ost_write_rpc_usec_data.sample_min,ost_write_rpc_usec_data.sample_max,ost_write_rpc_usec_data.samples_sum,osc_req_waittime_data.no_of_samples,osc_req_waittime_data.sample_min,osc_req_waittime_data.sample_max,osc_req_waittime_data.samples_sum,osc_req_active_data.no_of_samples,osc_req_active_data.sample_min,osc_req_active_data.sample_max,osc_req_active_data.samples_sum,cur_dirty_bytes,cur_grant_bytes,cur_read_rif,pending_read_pages,cur_write_rif,pending_write_pages,is_dist_centered,avg_pages_per_write_rpc,write_avg_xfer_speed,write_max_xfer_speed,used_pct_dirty_cache,waittime_to_mrif_ratio,avg_waittime,write_rpc_generation_rate,avg_write_rpc_latency_per_unit_data,avg_write_rpc_waittime,avg_rpcs_in_flight,actual_record_duration
which observation it is (start from 1),max_pages_per_rpc (mppr),max_rpcs_in_flight (mrif),max_dirty_mb (mdm),total count of llite layer read IOs,minimum size of llite layer read IOs,maximum size of llite layer read IOs,total size of all llite layer read IOs,total count of llite layer write IOs,minimum size of llite layer write IOs,maximum size of llite layer write IOs,total size of all llite layer write IOs,total count of OSC layer read RPCs,minimum size of OSC layer read RPCs,maximum size of OSC layer read RPCs,total size of all OSC layer read RPCs,total count of OSC layer read RPCs,minimum time spent by OSC layer read RPCs,maximum time spent by OSC layer read RPCs,total time spent by all OSC layer read RPCs,total count of OSC layer write RPCs,minimum size of OSC layer write RPCs,maximum size of OSC layer write RPCs,total size of all OSC layer write RPCs,total count of OSC layer write RPCs,minimum time spent by OSC layer write RPCs,maximum time spent by OSC layer write RPCs,total time spent by all OSC layer write RPCs,total count of completed RPCs whose waittime got recorded,minimum waittime recorded among all completed RPCs,maximum waittime recorded among all completed RPCs,total amount of waittime recorded for all completed RPCs,total count of issued RPCs,minimum RPCs in the air observed among all issued RPCs,maximum RPCs in the air observed among all issued RPCs,total RPCs in the air observed for all issued RPCs,current amount of dirty pages (in bytes) in dirty page cache,current amount of space the client has reserved for the writeback cache with each OST,current amount of read RPCs in air,pending amount of read pages waiting to be cached,current amount of write RPCs in air,pending amount of write pages waiting to be cached,"is pages_per_rpc distribution centered: Centered(+1), Decentered(-1), Empty(0)",average pages observed among issued write RPCs,average transfer speed of write RPCs,maximum transfer speed of write RPCs,percentages of dirty page cache that is occupied,ratio of avg_waittime to max_rpcs_in_flight,average of waittime for all completed RPCs,how fast data is being utilized to generate RPCs,"the average amount of latency observed during write RPC communication for a unit (in Page, size = 4kB) of data",average of waittime for completed write RPCs,average number of observed RPCs in flight,actual snapshot record duration
0,1024,8,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4194304,4194304,8388608,2,4190394,4472574,8662968,2,4190394,4472574,8662968,0,0,0,0,1421869056,82083839,0,0,4,0,0,1024.0,0,0,67.80000000000001,0,4331484.0,0,0,4331484.0,0,0
1,64,128,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,262144,4194304,146014208,317,125970,4633848,121997782,317,125970,4633848,121997782,431,10,132,48031,1281228800,242614271,0,0,0,6,1,112.45425867507886,1196859,153197952,61.09375,3006,384851.047318612,202949421,30.709476085901958,384851.047318612,111.44083526682135,0.6367940902709961
2,4,16,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,32768,4194304,143392768,1100,1517,224213,38045587,1100,1517,224213,38045587,987,7,134,28337,1115684864,490201087,0,0,7,6,1,31.825454545454544,3768972,60303552,53.2,2161,34586.89727272727,229511502,37.85299708707177,34586.89727272727,28.710233029381964,0.6287496089935303
3,1,4,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1048576,4194304,145752064,79,20246,321206,7765606,79,20246,321206,7765606,68,5,17,412,939524096,664354815,0,0,5,2,1,450.43037974683546,18768923,75075692,44.800000000000004,24574,98298.81012658228,247549508,36.019052415834324,98298.81012658228,6.0588235294117645,0.6223578453063965
4,128,64,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,524288,1048576,146276352,143,19584,409241,24907898,143,19584,409241,24907898,204,5,66,9920,765984768,847069183,0,0,6,2,1,249.73426573426573,5872689,375852096,36.525,2721,174181.1048951049,226105485,14.343046319480576,174181.1048951049,48.627450980392155,0.6332840919494629
5,256,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,524288,1048576,145752064,193,6894,164494,17290416,193,6894,164494,17290416,130,2,68,3190,594542592,1146175487,0,0,1,0,0,184.37305699481865,8429644,8429644,28.349999999999998,89587,89587.64766839378,222250996,19.801739642768542,89587.64766839378,24.53846153846154,0.6315822601318359
6,512,64,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1048576,2097152,145752064,82,7133,479675,13990235,82,7133,479675,13990235,144,2,68,5908,424673280,1394933759,0,0,4,0,0,433.9512195121951,10418128,666760192,20.25,2665,170612.6219512195,239777542,9.582796144600906,170612.6219512195,41.02777777777778,0.6343660354614258
7,4,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2097152,2097152,144703488,69,513244,1204960,40553695,69,513244,1204960,40553695,11,64,65,714,256901120,1609547775,0,0,6,8,1,512.0,3568194,3568194,12.25,587734,587734.7101449275,237756380,17.685032091414463,587734.7101449275,64.9090909090909,0.6316404342651367
8,512,4,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,131072,2097152,138280960,189,947,45359,2577658,189,947,45359,2577658,192,2,5,572,100663296,1784463359,0,0,5,6,0,178.62433862433863,53645968,214583872,4.8,3409,13638.402116402116,203167241,25.628787326417658,13638.402116402116,2.9791666666666665,0.6366984844207764
