observation_no,osc_rpc_configuration_current.mppr_value,osc_rpc_configuration_current.mrif_value,osc_rpc_configuration_current.mdm_value,llite_stats_read_bytes.no_of_samples,llite_stats_read_bytes.sample_min,llite_stats_read_bytes.sample_max,llite_stats_read_bytes.samples_sum,llite_stats_write_bytes.no_of_samples,llite_stats_write_bytes.sample_min,llite_stats_write_bytes.sample_max,llite_stats_write_bytes.samples_sum,ost_read_rpc_bytes_data.no_of_samples,ost_read_rpc_bytes_data.sample_min,ost_read_rpc_bytes_data.sample_max,ost_read_rpc_bytes_data.samples_sum,ost_read_rpc_usec_data.no_of_samples,ost_read_rpc_usec_data.sample_min,ost_read_rpc_usec_data.sample_max,ost_read_rpc_usec_data.samples_sum,ost_write_rpc_bytes_data.no_of_samples,ost_write_rpc_bytes_data.sample_min,ost_write_rpc_bytes_data.sample_max,ost_write_rpc_bytes_data.samples_sum,ost_write_rpc_usec_data.no_of_samples,ost_write_rpc_usec_data.sample_min,ost_write_rpc_usec_data.sample_max,ost_write_rpc_usec_data.samples_sum,osc_req_waittime_data.no_of_samples,osc_req_waittime_data.sample_min,osc_req_waittime_data.sample_max,osc_req_waittime_data.samples_sum,osc_req_active_data.no_of_samples,osc_req_active_data.sample_min,osc_req_active_data.sample_max,osc_req_active_data.samples_sum,cur_dirty_bytes,cur_grant_bytes,cur_read_rif,pending_read_pages,cur_write_rif,pending_write_pages,is_dist_centered,avg_pages_per_write_rpc,write_avg_xfer_speed,write_max_xfer_speed,used_pct_dirty_cache,waittime_to_mrif_ratio,avg_waittime,write_rpc_generation_rate,avg_write_rpc_latency_per_unit_data,avg_write_rpc_waittime,avg_rpcs_in_flight,actual_record_duration
which observation it is (start from 1),max_pages_per_rpc (mppr),max_rpcs_in_flight (mrif),max_dirty_mb (mdm),total count of llite layer read IOs,minimum size of llite layer read IOs,maximum size of llite layer read IOs,total size of all llite layer read IOs,total count of llite layer write IOs,minimum size of llite layer write IOs,maximum size of llite layer write IOs,total size of all llite layer write IOs,total count of OSC layer read RPCs,minimum size of OSC layer read RPCs,maximum size of OSC layer read RPCs,total size of all OSC layer read RPCs,total count of OSC layer read RPCs,minimum time spent by OSC layer read RPCs,maximum time spent by OSC layer read RPCs,total time spent by all OSC layer read RPCs,total count of OSC layer write RPCs,minimum size of OSC layer write RPCs,maximum size of OSC layer write RPCs,total size of all OSC layer write RPCs,total count of OSC layer write RPCs,minimum time spent by OSC layer write RPCs,maximum time spent by OSC layer write RPCs,total time spent by all OSC layer write RPCs,total count of completed RPCs whose waittime got recorded,minimum waittime recorded among all completed RPCs,maximum waittime recorded among all completed RPCs,total amount of waittime recorded for all completed RPCs,total count of issued RPCs,minimum RPCs in the air observed among all issued RPCs,maximum RPCs in the air observed among all issued RPCs,total RPCs in the air observed for all issued RPCs,current amount of dirty pages (in bytes) in dirty page cache,current amount of space the client has reserved for the writeback cache with each OST,current amount of read RPCs in air,pending amount of read pages waiting to be cached,current amount of write RPCs in air,pending amount of write pages waiting to be cached,"is pages_per_rpc distribution centered: Centered(+1), Decentered(-1), Empty(0)",average pages observed among issued write RPCs,average transfer speed of write RPCs,maximum transfer speed of write RPCs,percentages of dirty page cache that is occupied,ratio of avg_waittime to max_rpcs_in_flight,average of waittime for all completed RPCs,how fast data is being utilized to generate RPCs,"the average amount of latency observed during write RPC communication for a unit (in Page, size = 4kB) of data",average of waittime for completed write RPCs,average number of observed RPCs in flight,actual snapshot record duration
0,1024,8,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4194304,4194304,33554432,7,114318,115107,802166,7,114318,115107,802166,8,9,9,72,783261696,97738751,0,0,9,0,0,1024.0,0,0,37.348828125,0,114595.14285714286,0,0,114595.14285714286,9.0,0
1,32,4,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095,131072,4194304,220725248,1094,1199,116112,4178029,1094,1199,116112,4178029,1090,4,9,5617,595369984,371113983,0,0,5,2,1,49.212785388127855,52829994,211319976,28.389453125000003,954,3819.0393053016455,291718615,15.059073600251192,3819.0393053016455,5.153211009174312,0.6306912899017334
2,2,16,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7360,8192,131072,197255168,7361,343,20384,9918443,7360,343,20384,9918046,7369,3,21,123801,385662976,863854591,0,0,4,6,1,6.543206521739131,19887715,318203440,18.38984375,84,1347.560597826087,305971313,12.257459299767127,1347.4314631164243,16.800244266521915,0.6417415142059326
3,128,32,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3013,8192,524288,201113600,3013,333,66799,19357376,3013,333,66799,19357376,3030,7,35,56946,175218688,1533206527,0,0,3,2,0,16.296050448058413,10389507,332464224,8.355078125,200,6424.618652505808,327208522,20.97704928304894,6424.618652505808,18.794059405940594,0.6149187088012695
4,16,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,65536,524288,145424384,567,678,55035,6269599,567,678,55035,6269599,536,2,33,3217,17342464,1766088703,0,0,2,6,1,62.617283950617285,23195165,23195165,0.826953125,11057,11057.493827160493,228167564,29.422272156298998,11057.493827160493,6.001865671641791,0.6387283802032471
5,2,256,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,40960,65536,12034048,184,666,1258,144338,185,666,24404,168742,183,1,3,371,0,1879506943,0,0,0,0,1,15.967391304347826,83374080,21343764480,0.0,3,912.1189189189189,18602861,24.23293804208815,784.445652173913,2.0273224043715845,0.6193180084228516
6,64,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879506943,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0.5935711860656738
7,128,16,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879506943,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0.6214337348937988
8,128,128,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879506943,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0.6030402183532715
9,512,256,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879506943,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0.6095514297485352
