workload,optml_mppr,optml_mrif
fivestreamread_io_16m,4,128
fivestreamread_io_1m,4,256
fivestreamread_io_8k,2,256
fivestreamreadrnd_io_16m,256,8
fivestreamreadrnd_io_1m,4,32
fivestreamreadrnd_io_8k,1,1
fivestreamwrite_io_16m,256,128
fivestreamwrite_io_1m,512,8
fivestreamwrite_io_8k,256,32
fivestreamwriternd_io_16m,128,2
fivestreamwriternd_io_1m,512,1
fivestreamwriternd_io_8k,16,2
rnd_r_1_io_16m,8,128
rnd_r_1_io_1m,8,64
rnd_r_1_io_8k,512,2
rnd_r_1_w_1_io_16m,512,8
rnd_r_1_w_1_io_1m,64,2
rnd_r_1_w_1_io_8k,4,128
rnd_rw_io_16m,256,8
rnd_rw_io_1m,128,8
rnd_rw_io_8k,2,16
rnd_w_1_io_16m,1024,16
rnd_w_1_io_1m,256,2
rnd_w_1_io_8k,8,16
seq_r_1_io_16m,1024,8
seq_r_1_io_1m,512,32
seq_r_1_io_8k,1024,8
seq_r_1_w_1_io_16m,64,2
seq_r_1_w_1_io_1m,16,32
seq_r_1_w_1_io_8k,1024,16
seq_rw_io_16m,1024,16
seq_rw_io_1m,64,16
seq_rw_io_8k,256,32
seq_w_1_io_16m,256,256
seq_w_1_io_1m,1024,8
seq_w_1_io_8k,256,64
webserver,8,4
whole_rw,128,1
whole_w,64,1
